id,term,example,label
63,teabagger,@Soldier1eaODGrn I don't give a flying fuck what a teabagger piece of human garbage like you thinks =),1
64,teabagger,@Soldier1eaODGrn you are a teabagger scum who wants to threaten people with his penis extender. You are a danger to this country.,1
67,teabagger,@SteveStockmanTX @toddstarnes oh I see. Part of a giant govt take over eh. Stockboy you are a joke of a representative. #dumb teabagger,1
68,teabagger,@SteveStockmanTX bullshit..i guess the poor have all the money..tax money movers at same rate as working people..you teabaggers are traitors,1
70,teabagger,@SteveStockmanTX you teabagger dunces want to eliminate education all together so you can groom more teabag voters. Lol.#thedumbestteabagger,1
71,teabagger,@SteveWorks4You bush took 3 times as many vacations.. republican teabaggers are pusses....wah,1
78,teabagger,"@_MariaPetrova @markkelly1983 @MissStef0318 @SamHarrisOrg Who? Ok, right-wing teabaggers, gun nuts (like Harris), hell, even fucking cops.",1
85,teabagger,"@argylegray @JTrevorHowerton @HollyRFisher I don't give a flying fuck what you think about my tweets, worthless teabagger scum.",1
86,teabagger,@aschops absolutely agree with that statement. It's just so amusing how angry it makes all these teabagger scumbags. That alone is worth it.,1
112,teabagger,"BASICALLY, #GOP, #ROMNEY, right wing reactionaries, drudgies, teabaggers, libertaritards, all hate our education system and teachers.",1
123,teabagger,"Faux Noise pundits don't like duck molester, pro-slavery racist, homophobic teabagger darling Phil Robertson either http://t.co/xXEhPHWWwr",1
144,teabagger,I'm sure @AFP would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers. https://t.co/zkqg5WfE5R,1
153,teabagger,Jose Soto: Reflections of a former gay teabagger http://t.co/XtMMuzyK,1
265,teabagger,that would be the stunt in which @JamesOKeefeIII crossed some water dressed as a dead man while his teabagger sheriff friend watched him.,1
7,trash,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn",1
13,trash,#Dutch people who live outside of #NewYorkCity are all white trash.,1
15,trash,#Minnesota is full of white trash,1
33,trash,@Benny_Balboa not to yall thou! Yalll fucking glad bag trash,1
38,trash,@ChickenColeman if McCoy wasn't trash that's a TD,1
42,trash,"@Godsmack_Music @iTunesMusic @iTunes That band is white trash, and only white trash would buy that album.",1
45,trash,@ItsYOUR_man nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,1
49,trash,@LimitlessMudi @YoDeddyUgly Y'all both trash,1
53,trash,@MillerLite I don't follow you because everything about your company is white trash.,1
60,trash,"@RonnieMack12 dawg, you so trash your momma got charged with littering when she dropped you off for school",1
74,trash,@TonyO97 fuck i look like shopping at that trash ass store,1
90,trash,@gonzalez_sassy ur not sassy white trash change ur username,1
109,trash,Anyone who came to the US as an indentured servant is white trash.,1
115,trash,Charles was eatin trash ass Dominoes in that pic...you know he was still poor at the time lol,1
117,trash,Corey is trash,1
147,trash,"If you would have followed George Washington in 1776, it means that you're white trash.",1
152,trash,It's unbelievable to me that there are Americans who refused to kill the okies. That means all Americans weak willed trash.,1
157,trash,Marcus Colston so damn trash.,1
169,trash,R&amp;B is so trash now compared to early 2000's.,1
188,trash,"RT @MELODICthunder: Nah, 2013 was trash RT @IshaboiBrandon: 2014 was so trash dawg",1
208,trash,"RT @chefpolio: ""I don't send nudes"" -- a bitch wit trash nudes",1
220,trash,"RT @trentlilweezy: ""you are trash""

me: http://t.co/nX2tqImO2a",1
33_T9,tom,"@CHARLESBARRKLEY hey Sir house nigger, uncle tom aren't you from grand ole Mississippi, I rest my case!",1
48_T9,tom,@MrMooncricket @FuckTheMallcops @AtBlackface @UncleUnco @BobbyBotsods @RacistNegro69 y'all is coons n uncle toms,1
49_T9,tom,"@MrMooncricket oh hell no! Fuck you Uncle Tom bitch, I remember yo punk broke ass",1
56_T9,tom,@SadderDre @PoeticGenius19 who knows man. That Uncle Tom mentality will never die. Ol Martin Baker headass,1
94_T9,tom,"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta""",1
98_T9,tom,"@sweetakin Only rich white liberals know what's best for black people. If they don't see that, they're obviously Uncle Toms.",1
105_T9,tom,All these so called real niggas and they hoes aint nuttin but some massah luvin uncle toms &amp; aunt jamammi's fakin da funk.,1
107_T9,tom,"Big Squawk: Q: when will DFL dump Ryan ""Uncle Tom"" Winkler? 
} Not going to happen Berg
Bleat on.
#mngop proud #stribpol #mnleg",1
108_T9,tom,"Bitch ass nigga, be hating on black women... Uncle Tom bitch punk.",1
115_T9,tom,DIVERSITY: Chcgo Blck Pstr Flooded w/ Dth Threats Ovr Endorsement Of GOP Candidate: &#8220;U Sellout Uncle Tom Ass N*gger&#8221; http://t.co/vcBWzkyeDv,1
144_T9,tom,I sho do miss my Uncle Tom,1
152_T9,tom,It's a lot of Uncle Tom ass niggas out here.,1
176_T9,tom,Ok this is funny... A proud liberal who wants to end racism calls Tim Scott an Uncle Tom Lolz lib idiots #tcot http://t.co/y6X6eagw20,1
183_T9,tom,RT @B1B_Lancer: Cue the liberal left's Uncle Tom attacks against Tim Scott in 4...3...2... #tcot #teaparty #GOP,1
207_T9,tom,RT @PLANES_OVAlames: Stephen A. Smith Responds To People Calling Him An Uncle Tom/Sell-Out!&#128175; http://t.co/scC8STdMgU,1
214_T9,tom,RT @Shalewis09: Larry Elder is an Uncle Tom. I cannot believe how he is degrading a child.,1
215_T9,tom,RT @Smart_Cookie86: If I had to pick a President of the Uncle Tom association I would pick Larry Elder.,1
217_T9,tom,"RT @TheRoot: Don Lemon gets called an Uncle Tom, doesn't like it: http://t.co/eV4xgI5Pgc http://t.co/i6Xs8HCnrb",1
242_T9,tom,RT @pambesteder: **WOW* according to this tweet by @Tarascan68 Obama must have been an Uncle Tom? http://t.co/Klcsgy9JPW,1
262_T9,tom,This Uncle Tom mother fucking wants to invoke 3/5 a man in his speech? Dude you ain't white no matter how much... http://t.co/3yrcyC9ezc,1
269_T9,tom,Uncle Tom Hypocrite! http://t.co/cyc9MAdJpQ,1
